Altitude (km)	Density (kg/m^3)
885.0	6.276E-15
890.0	6.096E-15
895.0	5.924E-15
900.0	5.759E-15
905.0	5.602E-15
910.0	5.452E-15
915.0	5.308E-15
920.0	5.170E-15
925.0	5.038E-15
930.0	4.912E-15
935.0	4.790E-15
940.0	4.673E-15
945.0	4.561E-15
950.0	4.453E-15
955.0	4.349E-15
960.0	4.248E-15
965.0	4.152E-15
970.0	4.058E-15
975.0	3.968E-15
980.0	3.881E-15
985.0	3.797E-15
990.0	3.716E-15
995.0	3.637E-15
1000.0	3.561E-15
